"metric","value"
"complexity","689"
"duplicated_lines_density","0.0"
"duplicated_lines","0"
"sqale_index","333"
"sqale_rating","1.0"
"test_execution_time","0"
"bugs","0"
"test_failures","82"
"lines_to_cover","1697"
"branch_coverage","19.5"
"duplicated_files","0"
"ncloc","3919"
"line_coverage","22.2"
"test_errors","0"
"coverage","21.4"
"reliability_rating","1.0"
"code_smells","31"
"security_rating","3.0"
"violations","34"
"security_hotspots","0"
"test_success_density","28.1"
"tests","114"
"uncovered_lines","1320"
"cognitive_complexity","341"
"duplicated_blocks","0"
"vulnerabilities","3"
