"metric","value"
"complexity","281"
"duplicated_lines_density","0.0"
"duplicated_lines","0"
"sqale_index","333"
"sqale_rating","1.0"
"test_execution_time","0"
"bugs","0"
"test_failures","8"
"lines_to_cover","961"
"branch_coverage","48.5"
"duplicated_files","0"
"ncloc","2886"
"line_coverage","33.1"
"test_errors","0"
"coverage","34.9"
"reliability_rating","1.0"
"code_smells","32"
"security_rating","3.0"
"violations","35"
"security_hotspots","0"
"test_success_density","84.6"
"tests","52"
"uncovered_lines","643"
"cognitive_complexity","151"
"duplicated_blocks","0"
"vulnerabilities","3"
